Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	BEGUM
Comments:	
Date:	4/30/17 11:03 AM
Duration:	03:30:14'48
Activities:	Ciclo indoor
Max HR:	152
Average HR:	77
Calories:	167
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1493568485605	2017-04-30 11:08:05.605	00:04:09	127	OK
1493568486591	2017-04-30 11:08:06.591	00:04:10	128	OK
1493568487593	2017-04-30 11:08:07.593	00:04:11	130	OK
1493568488584	2017-04-30 11:08:08.584	00:04:12	131	OK
1493568489588	2017-04-30 11:08:09.588	00:04:13	132	OK
1493568491067	2017-04-30 11:08:11.067	00:04:13	133	OK
1493568491574	2017-04-30 11:08:11.574	00:04:15	134	OK
1493568492575	2017-04-30 11:08:12.575	00:04:16	134	OK
1493568493611	2017-04-30 11:08:13.611	00:04:17	135	OK
1493568494559	2017-04-30 11:08:14.559	00:04:17	135	OK
1493568495574	2017-04-30 11:08:15.574	00:04:19	135	OK
1493568496575	2017-04-30 11:08:16.575	00:04:19	135	OK
1493568497554	2017-04-30 11:08:17.554	00:04:21	136	OK
1493568498559	2017-04-30 11:08:18.559	00:04:22	137	OK
1493568499587	2017-04-30 11:08:19.587	00:04:23	137	OK
1493568500564	2017-04-30 11:08:20.564	00:04:23	138	OK
1493568501555	2017-04-30 11:08:21.555	00:04:24	139	OK
1493568502560	2017-04-30 11:08:22.560	00:04:25	139	OK
1493568504036	2017-04-30 11:08:24.036	00:04:26	140	OK
1493568504561	2017-04-30 11:08:24.561	00:04:28	140	OK
1493568505544	2017-04-30 11:08:25.544	00:04:29	140	OK
1493568506550	2017-04-30 11:08:26.550	00:04:29	140	OK
1493568507540	2017-04-30 11:08:27.540	00:04:30	140	OK
1493568509024	2017-04-30 11:08:29.024	00:04:32	139	OK
1493568509523	2017-04-30 11:08:29.523	00:04:32	139	OK
1493568510519	2017-04-30 11:08:30.519	00:04:34	139	OK
1493568511530	2017-04-30 11:08:31.530	00:04:35	139	OK
1493568512519	2017-04-30 11:08:32.519	00:04:36	139	OK
